"","Gemeente","Leden_per_10000_inwoners","gem_code","Aantal"
"91","Eemnes",7.68,317,7
"92","Eersel",10.01,770,17
"93","Eijsden-Margraten",11.32,1903,20
"94","Eindhoven",11.03,772,255
"95","Elburg",8.66,230,20
"96","Emmen",5.86,114,57
"97","Enkhuizen",10.81,388,20
"98","Enschede",8.73,153,135
"99","Epe",9.7,232,29
"100","Ermelo",8.19,233,22
"101","Etten-Leur",8.95,777,39
"102","Geertruidenberg",13.95,779,30
"103","Geldrop-Mierlo",11.11,1771,44
"104","Gemert-Bakel",8.65,1652,23
"105","Gennep",3.49,907,4
"106","Gilze en Rijen",10.52,784,26
"107","Goeree-Overflakkee",7.39,1924,32
"108","Goes",11.57,664,42
"109","Goirle",13.87,785,33
"110","Gooise Meren",8.66,1942,50
"111","Gorinchem",7.74,512,26
"112","Gouda",11.19,513,80
"113","Grave",19.45,786,17
"114","Groningen",12.71,14,289
"115","Gulpen-Wittem",10.65,1729,14
"116","Haaksbergen",3.71,158,9
"117","Haaren",9.97,788,12
"118","Haarlem",9.4,392,151
"119","Haarlemmermeer",9.82,394,146
"120","Halderberge",9.6,1655,29
"121","Hardenberg",8.79,160,46
"122","Harderwijk",8.57,243,40
"123","Hardinxveld-Giessendam",5.31,523,9
"124","Harlingen",6.55,72,10
"125","Hattem",8.21,244,10
"126","Heemskerk",13.28,396,50
"127","Heemstede",8.28,397,20
"128","Heerde",10.63,246,19
"129","Heerenveen",9.14,74,39
"130","Heerhugowaard",7.58,398,43
"131","Heerlen",7.72,917,67
"132","Heeze-Leende",12.53,1658,20
"133","Heiloo",11.75,399,27
"134","Hellendoorn",8.32,163,28
"135","Hellevoetsluis",7.22,530,23
"136","Helmond",8.3,794,76
"137","Hendrik-Ido-Ambacht",7.1,531,22
"138","Hengelo",10.52,164,79
"139","Het Hogeland",12.33,1966,42
"140","Heumen",10.92,252,18
"141","Heusden",12.38,797,54
"142","Hillegom",4.55,534,10
"143","Hilvarenbeek",9.81,798,13
"144","Hilversum",11.53,402,104
"145","Hoeksche Waard",10.79,1963,93
"146","Hof van Twente",7.44,1735,24
"147","Hollands Kroon",9.21,1911,38
"148","Hoogeveen",12.11,118,62
"149","Hoorn",7.81,405,57
"150","Horst aan de Maas",6.41,1507,22
"151","Houten",16.86,321,83
"152","Huizen",8.48,406,35
"153","Hulst",8.84,677,18
"154","IJsselstein",10.25,353,35
"155","Kaag en Braassem",7.89,1884,17
"156","Kampen",9.12,166,47
"157","Kapelle",7.32,678,9
"158","Katwijk",6.75,537,44
"159","Kerkrade",5.47,928,21
"160","Koggenland",6.39,1598,13
"161","Krimpen aan den IJssel",8.94,542,20
"162","Krimpenerwaard",7.08,1931,38
"163","Laarbeek",10.75,1659,24
"164","Landerd",9.66,1685,15
"165","Landgraaf",12.5,882,47
"166","Landsmeer",7.5,415,8
"167","Langedijk",7.57,416,21
"168","Lansingerland",10.71,1621,66
"169","Laren",10.16,417,11
"170","Leeuwarden",8.46,80,95
"171","Leiden",10.6,546,132
"172","Leiderdorp",11.07,547,30
"173","Leidschendam-Voorburg",12.8,1916,96
"174","Lelystad",7.33,995,53
"175","Leudal",7.51,1640,21
"176","Leusden",13.15,327,39
"177","Lingewaard",8.03,1705,35
"178","Lisse",6.14,553,14
"179","Lochem",7.62,262,21
"180","Loon op Zand",7.72,809,18
"181","Lopik",8.52,331,11
"182","Loppersum",19.78,24,9
"183","Losser",4.72,168,10
"184","Maasdriel",8.85,263,18
"185","Maasgouw",7.83,1641,16
"186","Maassluis",6.17,556,20
"187","Maastricht",9.46,935,115
"188","Medemblik",6.73,420,28
"189","Meerssen",9.51,938,18
"190","Meierijstad",10.21,1948,81
"191","Meppel",9.03,119,30
